branch	sha12	reason
task/iter-002-carrier-align	83aef1c9def4	merged-into-main
task/iter-003-fixes	5a2778a71777	merged-into-main
task/iter-004-index-dir	93d86976f144	merged-into-main
task/iter-005-comment-gate	3dc5b26be1fd	merged-into-main
task/iter-006-cg-wiring	c13819635bcc	merged-into-main
task/iter-007-cg-sources	97c26813094e	merged-into-main
task/iter-009-condition-anchor	9d444fe98a76	merged-into-main
task/iter-011-facts-llm	bdd5b8301083	merged-into-main
task/iter-012-pilot-facts	3c92bcae8d82	merged-into-main
task/iter-014-logpath-fix	220b104b03c7	merged-into-main
task/iter-015-batch-b1	a55c8d57d430	merged-into-main
task/iter-016-batch-c1	42c20ad273d6	merged-into-main
task/iter-017-batch-c2	7cb1f01dd455	merged-into-main
task/iter-019-fix-classdef	6e3f7aec646d	merged-into-main
task/iter-020-batch-c4	a51d2ef5f28b	merged-into-main
task/iter-021-batch-c5	e875072df95c	merged-into-main
task/iter-022-batch-c6	4dc562329b96	merged-into-main
task/iter-023-batch-c7	cb592cc15148	merged-into-main
task/iter-024-batch-c8	93f42f282325	merged-into-main
task/iter-025-batch-c9	697125bf2bb4	merged-into-main
task/iter-027-batch-c11	c6b430dcb2b2	merged-into-main
task/iter-031-batch-c31-fix	802b16576d2e	merged-into-main
task/iter-035-batch-c35-fix2	d1fec6a31306	merged-into-main
task/iter-038-batch-c38	4ff1eaf8760a	merged-into-main
task/iter-040-042-mdcos-dual	973a819837e8	merged-into-main
task/iter-051-batch-c51	67bd2006806c	merged-into-main
task/iter-062-cogmap-anchor-fix	f73495103ba9	merged-into-main
task/iter-070-render-r21	78a3d9db2bea	merged-into-main
task/iter-073-batch-c73	f388304d891c	merged-into-main
task/iter-074-batch-c74	52151cef85fa	merged-into-main
task/iter-076-c76fix-d1	2441b2b7f46b	merged-into-main
task/iter-079-batch-c79-fix-d1-d2	d31b3be377af	merged-into-main
task/iter-080-batch-c80	5d90644462d2	merged-into-main
task/iter-082-batch-c82-fix-d1	817bf0800475	merged-into-main
task/iter-084-batch-c84-fix-d1	527ce3b98b2b	merged-into-main
task/iter-086-batch-c86-fix	f74b4d701fe0	merged-into-main
task/iter-088-batch-c88	59ea39e89f01	merged-into-main
task/iter-090-batch-c90-fix-d1-d2	41c6f156a910	merged-into-main
task/iter-092-batch-c92-fix-d1	84d316b778f2	merged-into-main
task/iter-094-batch-c94-fix-d1-d2	949564cb8537	merged-into-main
task/iter-096-batch-c96	12fe022db812	merged-into-main
task/iter-098-batch-c98-fix-d1	d3a4b62f7536	merged-into-main
task/iter-101-batch-c101-fix-d1-d2	c101f9cb0c7d	merged-into-main
task/iter-102-batch-c102-fix-d1	3e61306da495	merged-into-main
task/iter-106-batch-c106	9ef6f7a8b71b	merged-into-main
task/iter-108-batch-c108	36460982a809	merged-into-main
task/iter-110-batch-c110-fix	3043e802b9cf	merged-into-main
task/iter-112-batch-c112-fix-d1	42ac39a1715b	merged-into-main
task/iter-114-batch-c114-fix-d1-d2	65d1d7555b17	merged-into-main
task/iter-116-batch-c116-fix-d1	87c75b57cceb	merged-into-main
task/iter-118-batch-c118	8bc0b41e9a39	merged-into-main
task/iter-119-cogmap-anchor-fix2	e7ce89367ee6	merged-into-main
task/iter-120-batch-c120-fix-d1	95b61dc865f1	merged-into-main
task/iter-123-batch-c123-fix	854a8db6f38b	merged-into-main
task/iter-124-batch-c124-fix	288a81d312df	merged-into-main
task/iter-126-batch-c126-fix-d1	5fd2916f5394	merged-into-main
task/iter-128-batch-c128	b231df27779f	merged-into-main
task/iter-130-batch-c130	1acb0aa1c70b	merged-into-main
