received_at	verify_id	commit	verdict	receipt_job	iter_id
	iter-002-tip				iter-002-carrier-align
	superseded		PASS（编外）		iter-013-batch-a1
	superseded		PASS（编外）		iter-015-batch-b1
2026-09-17T16:40:07	verify-fff1ce7-phase0	fff1ce7	PASS	h1789634407680_445c	iter-002-carrier-align
2026-09-17T17:19:37	verify-3963ded-protocol	3963ded	PASS	h1789636777351_3b14	iter-002-carrier-align
2026-09-17T17:25:25	verify-3963ded-protocol-rerun	3963ded	PASS	h1789637125839_1b94	iter-002-carrier-align
2026-09-17T17:48:56	iter-002-carrier-align	c43a4d3	PASS	h1789638536516_21f8	iter-002-carrier-align
2026-09-17T17:54:16	iter-002-carrier-align-r2-h1789638856744_2494	c43a4d3	PASS	h1789638856744_2494	iter-002-carrier-align
2026-09-17T18:01:11	verify-b8db9fe	b8db9fe	PASS	h1789639271694_4724	iter-002-carrier-align
2026-09-17T18:17:34	verify-a337fd6	a337fd6	PASS	h1789640254664_5104	iter-002-carrier-align
2026-09-17T18:29:17	iter-003-fixes	5a2778a	PASS	h1789640957061_0a3c	iter-002-carrier-align
2026-09-17T18:38:54	iter-004-index-dir	93d8697	PASS	h1789641534308_3574	iter-002-carrier-align
2026-09-17T18:38:54	iter-005-comment-gate	3dc5b26	PASS	h1789641534564_5b6c	iter-002-carrier-align
2026-09-17T18:38:54	iter-006-cg-wiring	c138196	PASS	h1789641534845_57f4	iter-002-carrier-align
2026-09-17T18:38:55	iter-007-cg-sources	97c2681	PASS	h1789641535117_5a64	iter-002-carrier-align
2026-09-17T18:48:01	iter-009-condition-anchor	9d444fe	PASS	h1789642081794_310c	iter-002-carrier-align
2026-09-17T18:50:17	iter-009-condition-anchor-corr-h1789642217723_5990	9d444fe	PASS	h1789642217723_5990	iter-002-carrier-align
2026-09-17T18:57:55	iter-009-recalibration	f8896da	PASS	h1789642675808_2ad0	iter-002-carrier-align
2026-09-17T19:07:06	verify-8577f7f-r2-h1789643226560_5608	8577f7f	PASS	h1789643226560_5608	iter-002-carrier-align
2026-09-17T19:17:25	verify-2969fda-r2-h1789643845415_5eb4	2969fda	PASS	h1789643845415_5eb4	iter-002-carrier-align
2026-09-17T19:47:36	verify-0a0f8ef-r2-h1789645656276_2d64	0a0f8ef	PASS	h1789645656276_2d64	iter-002-carrier-align
2026-09-17T19:57:35	iter-011-facts-llm-r2-h1789646255101_1a38	8ea5837	PASS	h1789646255101_1a38	iter-002-carrier-align
2026-09-17T20:08:34	iter-011-delta-r2-h1789646914770_3d64	bdd5b83	PASS	h1789646914770_3d64	iter-002-carrier-align
2026-09-17T20:08:34	iter-012-pilot-facts-r2-h1789646914827_1428	3c92bca	PASS	h1789646914827_1428	iter-002-carrier-align
2026-09-17T20:17:57	iter-013-batch-a1-r2-h1789647477276_4e10	cb70bf6	PASS	h1789647477276_4e10	iter-002-carrier-align
2026-09-17T20:29:05	verify-2cbe6af-r2-h1789648145575_30a8	2cbe6af	PASS	h1789648145575_30a8	iter-002-carrier-align
2026-09-17T20:37:14	verify-9d35845-r2-h1789648634805_1a1c	9d35845	PASS	h1789648634805_1a1c	iter-002-carrier-align
2026-09-17T20:48:30	iter-014-logpath-fix-r2-h1789649310717_56a0	220b104	PASS	h1789649310717_56a0	iter-002-carrier-align
2026-09-17T20:59:13	iter-015-batch-b1-r2-h1789649953694_40d0	df03dd6	PASS	h1789649953694_40d0	iter-002-carrier-align
2026-09-17T21:09:09	iter-015-batch-split-r2-h1789650549305_545c	a55c8d5	PASS	h1789650549305_545c	iter-002-carrier-align
2026-09-17T21:17:01	verify-afeaf82-r2-h1789651021999_5878	afeaf82	PASS	h1789651021999_5878	iter-002-carrier-align
2026-09-17T21:38:42	iter-016-batch-c1-r2-h1789652322564_54a8	42c20ad	PASS	h1789652322564_54a8	iter-002-carrier-align
